date,hits,keyword,geo,time,gprop,category
2012 Jan,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Feb,11,electric car,US,2004-01-01 2026-08-31,web,0
2012 Mar,13,electric car,US,2004-01-01 2026-08-31,web,0
2012 Apr,11,electric car,US,2004-01-01 2026-08-31,web,0
2012 May,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Jun,9,electric car,US,2004-01-01 2026-08-31,web,0
2012 Jul,9,electric car,US,2004-01-01 2026-08-31,web,0
2012 Aug,8,electric car,US,2004-01-01 2026-08-31,web,0
2012 Sep,9,electric car,US,2004-01-01 2026-08-31,web,0
2012 Oct,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Dec,8,electric car,US,2004-01-01 2026-08-31,web,0
2013 Jan,8,electric car,US,2004-01-01 2026-08-31,web,0
2013 Feb,9,electric car,US,2004-01-01 2026-08-31,web,0
2013 Mar,9,electric car,US,2004-01-01 2026-08-31,web,0
2013 Apr,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 May,11,electric car,US,2004-01-01 2026-08-31,web,0
2013 Jun,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Jul,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Aug,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Sep,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Oct,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Dec,10,electric car,US,2004-01-01 2026-08-31,web,0
2014 Jan,9,electric car,US,2004-01-01 2026-08-31,web,0
2014 Feb,11,electric car,US,2004-01-01 2026-08-31,web,0
2014 Mar,10,electric car,US,2004-01-01 2026-08-31,web,0
2014 Apr,11,electric car,US,2004-01-01 2026-08-31,web,0
2014 May,11,electric car,US,2004-01-01 2026-08-31,web,0
2014 Jun,11,electric car,US,2004-01-01 2026-08-31,web,0
2014 Jul,11,electric car,US,2004-01-01 2026-08-31,web,0
2014 Aug,10,electric car,US,2004-01-01 2026-08-31,web,0
2014 Sep,11,electric car,US,2004-01-01 2026-08-31,web,0
2014 Oct,10,electric car,US,2004-01-01 2026-08-31,web,0
2014 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2014 Dec,10,electric car,US,2004-01-01 2026-08-31,web,0
2015 Jan,9,electric car,US,2004-01-01 2026-08-31,web,0
2015 Feb,10,electric car,US,2004-01-01 2026-08-31,web,0
2015 Mar,10,electric car,US,2004-01-01 2026-08-31,web,0
2015 Apr,10,electric car,US,2004-01-01 2026-08-31,web,0
2015 May,10,electric car,US,2004-01-01 2026-08-31,web,0
2015 Jun,9,electric car,US,2004-01-01 2026-08-31,web,0
2015 Jul,10,electric car,US,2004-01-01 2026-08-31,web,0
2015 Aug,9,electric car,US,2004-01-01 2026-08-31,web,0
2015 Sep,11,electric car,US,2004-01-01 2026-08-31,web,0
2015 Oct,11,electric car,US,2004-01-01 2026-08-31,web,0
2015 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2015 Dec,10,electric car,US,2004-01-01 2026-08-31,web,0
2016 Jan,9,electric car,US,2004-01-01 2026-08-31,web,0
2016 Feb,9,electric car,US,2004-01-01 2026-08-31,web,0
2016 Mar,10,electric car,US,2004-01-01 2026-08-31,web,0
2016 Apr,12,electric car,US,2004-01-01 2026-08-31,web,0
2016 May,10,electric car,US,2004-01-01 2026-08-31,web,0
2016 Jun,9,electric car,US,2004-01-01 2026-08-31,web,0
2016 Jul,9,electric car,US,2004-01-01 2026-08-31,web,0
2016 Aug,9,electric car,US,2004-01-01 2026-08-31,web,0
2016 Sep,9,electric car,US,2004-01-01 2026-08-31,web,0
2016 Oct,9,electric car,US,2004-01-01 2026-08-31,web,0
2016 Nov,11,electric car,US,2004-01-01 2026-08-31,web,0
2016 Dec,11,electric car,US,2004-01-01 2026-08-31,web,0
